[5061231, 12279188, 8463287, 9204509, 4929894, 11261267, 1396043, 1009383, 11171020, 6749961]
[18572883, 506329, 11025600, 19241921, 15063029, 1486903, 5638741, 1774200, 524924, 13305085]
[4278393, 17988335, 2880430, 7930293, 3259203, 17219611, 2263464, 18491574, 14729770, 9048459]
[14055349, 11253273, 13559570, 7015903, 9574737, 4929894, 14845875, 13487290, 784665, 5034822]
[16875380, 18019517, 6464770, 18321574, 8768099, 12498166, 4423236, 11055434, 8445903, 11716688]
[373975, 1595535, 729718, 2522060, 11172940, 5299259, 12397626, 18556023, 17094789, 2925286]
[3937502, 12438806, 13474870, 10918864, 18936587, 15245561, 5155331, 9821847, 10177964, 10539624]
[17069065, 13495811, 16097807, 17081466, 13511191, 13507642, 19236163, 17081523, 4536857, 9573034]
[17081523, 1768369, 1596657, 14851302, 15237225, 5013661, 7053895, 19239586, 5022867, 5032225]
[13527678, 4278393, 19219640, 10922290, 7899466, 617638, 16401891, 10544525, 18082866, 9388928]
[10935449, 551297, 11660060, 7061522, 16382529, 15071540, 16118489, 18570489, 8708386, 15922788]
[17003075, 5573427, 5835008, 15081326, 13499620, 7593757, 9316625, 15164721, 10539961, 10869179]
[12437027, 17067962, 5208461, 16077848, 19241319, 15988801, 14842809, 4549910, 2505753, 12436158]
[2504590, 6231652, 15983760, 5212414, 5211576, 15992708, 18572162, 5218364, 18559067, 613355]
[13299083, 1784062, 6758809, 12443041, 7587703, 14839828, 12829452, 14502167, 5015591, 2569565]
[17068744, 14905945, 5642307, 13171833, 6234990, 15254301, 10556055, 7055744, 12454672, 8442630]
[5331090, 2437804, 4388777, 11376961, 17751174, 854075, 558549, 14844943, 16824834, 16105042]
[17212237, 17749370, 6362659, 10446042, 14729764, 1227487, 18690178, 16284554, 2465601, 429017]
[11041840, 15322535, 1881393, 10936943, 14709715, 10689807, 4092250, 2283780, 18330619, 6510660]
[13186721, 12995870, 11212717, 16131750, 10598088, 15721574, 9473527, 1779076, 617657, 11261267]
[19215275, 8706178, 1120836, 10785460, 12690634, 4287971, 8702143, 11295469, 2594393, 2978511]
[1596657, 5650007, 13475160, 5652313, 15080943, 18082169, 17132460, 16096983, 5025050, 1598762]
[18556409, 613355, 9568310, 10544525, 10920469, 5211576, 1777469, 14954933, 18572162, 5646092]
[6690213, 8929686, 16423027, 5745632, 10820816, 13087250, 3141617, 3483093, 15376821, 13967450]
[6924585, 5639180, 1606183, 8708990, 18102320, 15241344, 14907595, 12459146, 8704428, 5211576]
[9134248, 3179240, 10546745, 7216230, 15353562, 11448662, 7775455, 10182790, 6310810, 787264]
[11183391, 8962492, 11030815, 323476, 14906129, 2233363, 11146627, 13480720, 15930484, 1562879]
[14811146, 2893469, 2180149, 15508283, 12870678, 16716681, 12263324, 1211849, 5979648, 11295469]
[12498367, 1411072, 9275067, 5573417, 14571412, 8496976, 1334045, 1341235, 3859007, 14400452]
[8768099, 16875380, 4423236, 12597664, 3746430, 8271550, 5906622, 12172440, 18019517, 3132119]
[12446942, 1762269, 4552359, 11706623, 5288588, 15980241, 4156921, 1596506, 5202702, 1940014]
[14858129, 14858126, 16080869, 17070072, 13498349, 10534621, 18560103, 18552686, 14501728, 624286]
[16079273, 4534947, 7482862, 10922013, 9392736, 13366240, 17421432, 15875024, 18558964, 2505487]
[4064300, 8014738, 3402923, 11261267, 12279188, 12272563, 8024005, 14508899, 15164721, 5428217]
[5506245, 18491572, 14248164, 7349377, 11041467, 10299213, 8258041, 7318794, 7761875, 9263202]
[2571340, 12027074, 11794102, 15762053, 6739122, 15404585, 3420250, 11370302, 10826212, 18927339]
[3937502, 5635110, 16259066, 15290492, 8276951, 7666876, 14310979, 6742212, 18355172, 6028400]
[15064401, 1608365, 18089425, 17122548, 5636606, 12454890, 15725455, 4541742, 5015579, 2497925]
[18712297, 3755192, 6210831, 8203977, 2704923, 17153408, 6265202, 16766188, 7216230, 10091366]
[19070586, 11083666, 16437728, 17986149, 19029989, 17690694, 16874365, 3935108, 10034358, 12142323]
[2508812, 15249057, 14851311, 12453637, 18089061, 15254235, 13684089, 5645611, 15738420, 5645610]
[16091117, 18082866, 7064692, 15086818, 13191263, 10695763, 10926339, 14854199, 17075484, 1616900]
[10920469, 16431411, 13864465, 613355, 15242854, 617638, 19231996, 19219640, 10544525, 13499674]
[5025050, 5208581, 10938182, 2496265, 17078585, 17120210, 2927410, 617410, 16077385, 16082227]
[17352777, 12408659, 6919612, 12550464, 6559373, 9585133, 17988335, 10920469, 5644546, 17795410]
